"controler_id","controler_name","control_task_order_id","control_task_name"
"001001","迟到_晚到","100000","默认信息"
"001001","迟到_晚到","100100","早上迟到"
"001001","迟到_晚到","100200","晚到学校"
"001001","迟到_晚到","100300","晚自修迟到"
"001002","校徽_早退","200000","默认信息"
"001002","校徽_早退","200100","校徽校服"
"001002","校徽_早退","200200","请假离校"
"001003","操场考勤机","300000","默认信息"
"001003","操场考勤机","300100","住宿早晨锻炼"
"001003","操场考勤机","300200","课间操请假"
"0099001","迟到[移动考勤机]","9900100","默认信息"
"0099002","校服[移动考勤机]","9900200","默认信息"
"0099003","早退[移动考勤机]","9900300","默认信息"
"0099004","离校[移动考勤机]","9900400","离校考勤"
"0099005","进校[移动考勤机]","9900500","进校考勤"
